# num_rep 	grppi_xcross 	dispel4py_xcross
1	33.210338 	76.96665143966675
2	64.404745	152.96475291252136 
4	135.982015	294.64401721954346
6	229.343261	451.224401473999
#8	235.363387	586.990734577179
16	682.303121	1172.7063012123108
32	1133.011144	2000.0
